Event_Date,Event_Description,Category
2003-03-20,US-led invasion of Iraq,Geopolitical Conflict
2008-09-15,Global Financial Crisis (Lehman Collapse),Economic Shock
2010-12-17,Arab Spring begins,Political Instability
2014-11-27,OPEC maintains production levels,OPEC Policy
2016-01-16,Iran sanctions lifted,Sanctions
2016-11-30,OPEC production cut agreement,OPEC Policy
2018-05-08,US exits Iran nuclear deal,Sanctions
2020-03-11,COVID-19 declared a pandemic,Global Crisis
2020-04-12,OPEC+ historic production cuts,OPEC Policy
2021-10-01,Global energy supply crunch,Economic Shock
2022-02-24,Russia invades Ukraine,Geopolitical Conflict
2022-03-08,US bans Russian oil imports,Sanctions
2022-06-02,OPEC+ limited output increase,OPEC Policy
